  291 KYTOMHAW.WP1   37.87  -82.62   KY TOMHAWK WSW
  292 KYVANCEB.WP1   38.65  -83.35   KY VANCEBURG DAM 32
  293 KYWAYNES.WP1   37.37  -84.57   KY WAYNESBURG 6 E
  294 KYWILLIA.WP1   38.63  -84.57   KY WILLIAMSTOWN
  295 LABELAHF.WP1   31.63  -92.18   LA BELAH FIRE TOWER
  296 LABOOTHV.WP1   29.33  -89.40   LA BOOTHVILLE WSMO CI
  297 LADERIDD.WP1   30.83  -93.27   LA DE RIDDER
  298 LAHACKBE.WP1   29.88  -93.42   LA HACKBERRY 8 SSW
  299 LAHAMMON.WP1   30.53  -90.48   LA HAMMOND 3 NW
  300 LAHOUMA.WP1    29.58  -90.73   LA HOUMA 1
  301 LALAKECH.WP1   30.12  -93.22   AP LAKE CHARLES WSO
  302 LAMELVIL.WP1   30.68  -91.73   LA MELVILLE
  303 LAMORGAN.WP1   29.70  -91.20   LA MORGAN CITY
  304 LANATCHI.WP1   31.77  -93.08   LA NATCHITOCHES
  305 LAOBERLI.WP1   30.60  -92.78   LA OBERLIN FIRE TOWER
  306 LARUSTON.WP1   32.52  -92.68   LA RUSTON L P I
  307 LASHREVE.WP1   32.55  -93.77   LA SHREVEPORT WB AP
  308 LATALLUL.WP1   32.38  -91.22   LA TALLULAH
  309 LAVERMIL.WP1   29.78  -92.20   LA VERMILION LOCK
  310 MAAMHERS.WP1   42.40  -72.53   MA AMHERST
  311 MACLINTO.WP1   42.40  -71.68   MA CLINTON
  312 MAEASTWA.WP1   41.77  -70.67   MA EAST WAREHAM
  313 MAROCKPO.WP1   42.65  -70.60   MA ROCKPORT 1 ESE
  314 MASTOCKB.WP1   42.28  -73.32   MA STOCKBRIDGE
  315 MAWORCES.WP1   42.27  -71.87   MA WORCESTER CAA AP
  316 MDBALTIM.WP1   39.25  -76.53   MD BALTIMORE WB AP
  317 MDFREDER.WP1   39.42  -77.42   MD FREDERICK POLICE BK
  318 MDHAGERS.WP1   39.65  -77.73   MD HAGERSTOWN
  319 MDOAKLAN.WP1   39.40  -79.40   MD OAKLAND 1SW
  320 MDOWINGS.WP1   38.68  -76.67   MD OWINGS FERRY LAND
  321 MEAUGUST.WP1   44.32  -69.80   ME AUGUSTA CAA AIRPORT
  322 MEBANGOR.WP1   44.80  -68.82   ME BANGOR DOW FIELD
  323 MECARIBO.WP1   46.87  -68.02   ME CARIBOU WB AIRPORT
  324 MECLAYTO.WP1   46.62  -69.53   ME CLAYTON LAKE2
  325 MEFORTKE.WP1   47.25  -68.60   ME FORT KENT
  326 MEJONESB.WP1   44.65  -67.65   ME JONESBORO
  327 MELONGFA.WP1   45.23  -70.20   ME LONG FALLS DAM
  328 MEMILLIN.WP1   45.65  -68.70   ME MILLINOCKET
  329 MEPORTLA.WP1   43.65  -70.32   ME PORTLAND WB AIRPORT
  330 MEPRESQU.WP1   46.65  -68.00   ME PRESQUE ISLE
  331 MERIPOGE.WP1   45.88  -69.18   ME RIPOGENUS DAM
  332 MERUMFOR.WP1   44.52  -70.57   ME RUMFORD 3 SW
  333 MESQUAPA.WP1   46.55  -68.33   ME SQUA PAN DAM
  334 MIALBERT.WP1   46.65  -88.48   MI ALBERTA FORD FRCNTR
  335 MIALMA.WP1     43.38  -84.67   MI ALMA
  336 MIALPENA.WP1   45.07  -83.53   MI ALPENA STATE FOREST
  337 MIANNARB.WP1   42.28  -83.75   MI ANN ARBOR U OF MICH
  338 MIBIGRAP.WP1   43.07  -83.53   MI BIG RAPIDS WATERWRK
  339 MICARO.WP1     43.48  -83.40   MI CARO
  340 MICHATHA.WP1   46.35  -86.93   MI CHATHAM EXP FARM
  341 MICHEBOY.WP1   45.63  -84.50   MI CHEBOYGAN
  342 MIFAYETT.WP1   45.63  -85.35   MI FAYETTE SACK BAY
  343 MIFIFELA.WP1   44.55  -85.38   MI FIFE LAKE ST FOREST
  344 MIGULLLA.WP1   42.40  -83.68   MI GULL LAKE EXP FARM
  345 MIHALEFI.WP1   44.45  -83.68   MI HALE FIVE CHNNLS DM
  346 MIHESPER.WP1   43.57  -86.03   MI HESPERIA
  347 MIHOUGHA.WP1   47.17  -88.50   MI HOUGHTON FAA AP
  348 MIHOUGHL.WP1   44.27  -84.73   MI HOUGHTON LK ST FOR
  349 MIIRONWO.WP1   46.45  -90.18   MI IRONWOOD POWER CO
  350 MIISHPEM.WP1   46.48  -87.65   MI ISHPEMING
  351 MIJACKSO.WP1   42.27  -84.47   MI JACKSON CAA AP
  352 MIMANIST.WP1   44.22  -86.30   MI MANISTEE POWER CO
  353 MINEWBER.WP1   46.33  -86.30   MI NEWBERRY STATE HOSP
